id,LAT,LON
230104335,34.0487,-118.2588
231804197,33.935,-118.2556
231204066,33.9757,-118.3265
231204069,33.9897,-118.2871
231204028,33.9656,-118.2651
231604024,34.2249,-118.3657
230604577,34.0926,-118.3201
232004189,34.0579,-118.2941
231804337,33.9471,-118.287
231804020,33.9305,-118.2307
231804299,33.9388,-118.2542
231404035,33.9773,-118.3705
231304042,33.9957,-118.2652
230204332,34.0605,-118.2814
241707424,34.2538,-118.4861
232013849,34.0636,-118.3004
231907510,34.2317,-118.4377
231804022,33.9465,-118.2652
230404031,34.0418,-118.1964
230404079,34.0838,-118.1882
231013819,34.1902,-118.5447
230304050,34.0273,-118.3024
231804236,33.9388,-118.2542
231604157,34.258,-118.3049
231404008,33.9871,-118.4732
230804087,34.0611,-118.4184
241604979,34.2902,-118.4117
231404039,33.997,-118.4761
231304093,33.9852,-118.2652
230504021,33.8213,-118.3064
230204042,34.0909,-118.2917
231504188,34.1922,-118.366
231807446,33.9392,-118.2805
230104324,34.0519,-118.2531
230100503,34.0525,-118.2432
230804030,34.0579,-118.4322
231006422,34.2146,-118.5056
232004216,34.0391,-118.2916
230104027,34.0561,-118.2375
230104281,34.0462,-118.2585
230908706,34.1522,-118.4181
230307383,34.0106,-118.2842
231804057,33.9356,-118.2808
230716706,34.0819,-118.3385
231804261,33.9441,-118.2652
230413259,34.0229,-118.2133
231304004,34.0296,-118.2613
230509129,33.7403,-118.2814
230604032,34.1055,-118.3422
231108617,34.1195,-118.1735
232004070,34.0776,-118.3012
231904042,34.2315,-118.4289
231904070,34.3087,-118.4319
230504054,33.785,-118.2554
230504830,33.7261,-118.2924
231104060,34.1227,-118.2681
241708953,34.2846,-118.5804
231104047,34.1186,-118.245
231815351,33.9438,-118.2717
231304030,34.0011,-118.25
230504045,33.7801,-118.2594
231004094,34.2177,-118.5344
231904330,34.2281,-118.4592
231404018,33.963,-118.4265
230104214,34.0524,-118.2467
231904055,34.2301,-118.4633
231004329,34.1887,-118.5404
231204493,33.9783,-118.2838
240904525,34.1847,-118.4443
231004035,34.1841,-118.5011
230404100,34.0887,-118.1785
231408178,33.9579,-118.402
231304029,33.9925,-118.2608
230307326,34.0051,-118.3257
231418513,33.991,-118.4403
240904088,34.1747,-118.4442
241712117,34.2264,-118.5471
231611037,34.2746,-118.3738
230304508,34.016,-118.346
231704022,34.2355,-118.5389
231904029,34.3099,-118.4275
230305592,34.0291,-118.3151
231104025,34.0956,-118.2918
231313151,34.0121,-118.2458
231104087,34.0885,-118.2714
230504023,33.7333,-118.2805
231304018,34.0207,-118.2703
230400504,34.0428,-118.2167
230104322,34.0419,-118.2669
230204003,34.0777,-118.288
230404004,34.0299,-118.2056
230407069,34.0439,-118.2262
240908474,34.1668,-118.4445
231504099,34.1649,-118.3665
230604396,34.098,-118.318
231504645,34.2012,-118.3855
231905302,34.2115,-118.4311
241107222,34.1077,-118.2394
232104108,34.2123,-118.606
230604039,34.0908,-118.3092
